Brand,Capacity(kg),Price,Rating(out of 5),Total rating,Total reviews,
Equator,8,20511,4.6,,0,
Whirlpool,7,20490,4.3,815,462,
LG,7,20490,4.1,,4,
Godrej,7,20391,4.5,,7,
SAMSUNG,7,20000,4.5,116,100,
SAMSUNG,7,20000,4.1,,5,
Godrej,10,19999,4.4,,113,
LG,6.5,19992,4.1,,7,
SAMSUNG,8,19990,4.3,694,2045,
White westinghouse,8.5,19990,4.3,336,1115,
TCL,8.5,19990,4.2,,17,
LG,8,19990,4.4,,113,
Godrej,6.5,19990,4.4,,113,
IFB,6.5,19774,3.3,,3,
Lloyd,7,19589,4.2,881,439,
LG,7,19589,4.6,,0,
Lloyd,8,19490,4.4,929,296,
SAMSUNG,7,19490,4.4,,113,
IFB,6.5,19290,4.3,55,1118,
Whirlpool,7.5,19129,4.3,694,2045,
Whirlpool,6.5,19090,4.4,,31,
BOSCH,6.5,18999,4.3,,1,
BOSCH,7,18990,4.3,694,2045,
Galanz,10,18990,4.3,61,6574,
Voltas,9,18990,3.3,,0,
LG,11,18990,3.8,,8,
Whirlpool,6.5,18990,4.5,,27,
Whirlpool,6.5,18990,4.7,,6,
SAMSUNG,6.5,18989,4.2,,2,
Panasonic,10,18900,,4349,52,
Panasonic,12,18760,4.2,,185,
SAMSUNG,7,18690,,431,4,
IFB,7,18690,4.2,55,1118,
SAMSUNG,7,18690,4.1,,3,
Lloyd,7.5,18639,4.4,,5,
Godrej,6.5,18599,4.4,,113,
IFB,6.5,18499,4.4,550,221,
Whirlpool,6.5,18490,3.9,,1,
Godrej,7.5,18490,4.4,,12,
Godrej,7,18490,4.4,,2,
SAMSUNG,6.5,18419,4.3,659,2643,
SAMSUNG,6.5,18419,4.4,,28,
Haier,10,18359,4.6,,3,
SAMSUNG,7,18340,4.3,694,2045,
SAMSUNG,11.5,18200,4.2,790,349,
SAMSUNG,11.5,18200,4.3,,22,
LG,11,18190,4.3,69,952,
SAMSUNG,7,18090,4.3,55,1118,
Panasonic,7.2,17999,4.3,757,256,
SAMSUNG,7,17990,4.1,773,175,
SAMSUNG,7,17990,4.3,694,2045,
SAMSUNG,7,17990,4.2,453,185,
BOSCH,6.5,17990,4.4,303,396,
Whirlpool,7.5,17990,4.3,61,6574,
SAMSUNG,7,17990,4.3,55,1118,
LG,10,17990,4.1,,67,
SAMSUNG,7,17990,4.2,,22,
Hafele,6,17990,4.3,,14,
Galanz,6,17990,4.4,,6,
Haier,7,17893,4.3,55,1118,
Haier,7,17893,4.6,,5,
SAMSUNG,7,17590,4.3,846,273,
IFB,6.5,17590,4.4,88,76,
Godrej,7,17499,3.8,,0,
Whirlpool,7,17490,4.3,815,462,
LG,7,17490,4.3,694,2045,
Whirlpool,6.5,17490,4.1,,0,
Whirlpool,7,17490,4.3,,0,
Whirlpool,7.5,17290,4.3,281,1393,
Whirlpool,7.5,17290,4.3,61,6574,
Whirlpool,10.5,17230,4.5,306,126,
Panasonic,8,17099,4.2,867,651,
Godrej,6.5,17099,4.5,640,305,
Panasonic,8,17099,4.3,61,6574,
Whirlpool,7,16990,,4349,52,
ONIDA,6.8,16990,,4349,52,
ONIDA,6.8,16990,4.3,777,1291,
LG,10,16990,4.2,453,185,
LG,6.5,16990,4.1,,20,
LG,6.5,16990,4.3,,92,
Panasonic,6.7,16990,4.4,,12,
Haier,8,16990,4.5,,68,
Whirlpool,7,16960,4.3,,0,
Whirlpool,6.5,16899,,52,1,
Haier,6.5,16799,4.3,55,1118,
LG,8.5,16699,4.2,,11,
Godrej,6.2,16580,4.4,,16,
Whirlpool,8.5,16500,3.8,,0,
Whirlpool,11,16499,4.7,,0,
Whirlpool,6.5,16490,,4349,52,
SAMSUNG,6.5,16490,4.3,815,462,
Lloyd,11,16490,4.3,625,182,
Godrej,10,16490,3.7,,1,
Godrej,6.5,16490,4.4,,1,
Godrej,8,16250,4.3,55,1118,
Godrej,7,16219,4.2,790,349,
Haier,6.5,16200,4.3,815,462,
Panasonic,8.5,16200,4.3,,5,
SAMSUNG,6.5,16100,4.2,40,91,
LG,8.5,15990,4.3,694,2045,
Whirlpool,6,15990,4.2,437,5274,
Haier,8.5,15990,4.2,,185,
Feltron,8,15990,4.4,,43,
LG,8.5,15950,3.7,,0,
Voltas,14,15900,4.4,150,1475,
Haier,9.5,15899,4.3,55,1118,
Haier,9.5,15890,4.3,61,6574,
LG,8,15799,4.3,55,1118,
Haier,9.5,15799,4.4,,0,
SAMSUNG,7,15790,,4349,52,
SAMSUNG,7,15790,,4349,52,
SAMSUNG,7,15790,,4349,52,
SAMSUNG,7,15790,,4349,52,
SAMSUNG,7,15790,4.3,815,462,
SAMSUNG,7,15790,4.4,664,4594,
SAMSUNG,7,15790,4.4,659,2643,
SAMSUNG,7,15790,4.4,101,261,
SAMSUNG,7,15790,4.3,61,6574,
SAMSUNG,7,15790,4.3,55,1118,
SAMSUNG,7,15790,3.9,,1,
SAMSUNG,7,15790,4.2,,76,
SAMSUNG,7,15790,4.3,,63,
SAMSUNG,7,15790,4.3,,68,
SAMSUNG,7,15790,4.3,,63,
SAMSUNG,7,15790,4.4,,9,
SAMSUNG,7,15790,4.4,,19,
SAMSUNG,7,15790,4.4,,0,
SAMSUNG,7,15790,4.5,,60,
LG,8,15739,4.4,444,241,
LG,8,15739,3.8,,22,
Whirlpool,9,15690,4.3,55,1118,
LG,8,15590,4.2,815,462,
SAMSUNG,9.5,15500,4.2,490,635,
Panasonic,7,15490,4.3,867,651,
ONIDA,8,15490,4.3,694,2045,
realme,8,15490,4.3,444,241,
Whirlpool,9.5,15451,,4349,52,
Haier,8.5,15339,4.2,790,349,
Whirlpool,9.5,15329,,44525,471,
Haier,8.5,15299,4.5,,5,
Thomson,9,15290,4.5,339,92,
Whirlpool,7,15240,4.4,849,696,
Whirlpool,7,15240,4.2,703,932,
LG,8,15199,4.5,339,92,
Whirlpool,9,15170,4.3,694,2045,
Godrej,9.5,14990,,4349,52,
Voltas,12,14990,4.3,777,1291,
LG,8.5,14990,4.3,694,2045,
Panasonic,6.5,14990,4.3,694,2045,
Midea,8,14990,4.4,567,2777,
Midea,8,14990,4.6,,0,
Panasonic,8,14895,4.3,,5,
ONIDA,7.5,14890,,44,0,
SAMSUNG,8.5,14800,4.3,281,1393,
LG,7,14799,4.4,413,644,
Godrej,6.5,14799,4.4,383,174,
Voltas,6.5,14790,,4349,52,
ONIDA,7,14790,4.3,815,462,
Voltas,6.5,14790,4.3,535,930,
SAMSUNG,6.5,14790,4.4,218,425,
Godrej,6.5,14790,4.1,,2,
Godrej,9,14790,4.1,,17,
Lloyd,8,14580,4.3,694,2045,
Voltas,9,14580,4.2,,9,
Godrej,6.2,14494,4.3,55,1118,
LG,8,14490,4.4,84,1416,
Whirlpool,6.5,14490,4.3,69,952,
ONIDA,7.5,14490,4.6,,6,
Whirlpool,6.5,14489,,4349,52,
Lloyd,8.5,14419,3.4,,0,
SAMSUNG,8.5,14390,4.3,55,1118,
ONIDA,7.5,14390,4.3,,0,
Godrej,8,14390,4.4,,24,
LG,7.5,14339,,473,7,
Whirlpool,9,14319,3.8,,1,
ONIDA,9.5,14299,4.4,,69,
Haier,9.5,14290,4.4,,62,
Haier,6,14287,4.3,,4,
Lloyd,8,14199,3.6,,2,
Panasonic,6.5,14190,,43480,337,
Whirlpool,6.5,14129,4.1,,67,
SAMSUNG,7,14099,4.3,815,462,
Lloyd,9,14019,,45,1,
Haier,8,13999,4.3,385,217,
Haier,8,13999,4.5,,3,
Whirlpool,6,13990,4.2,790,349,
Whirlpool,6,13990,4.2,790,349,
Whirlpool,6,13990,4.3,694,2045,
Whirlpool,6,13990,4.3,694,2045,
Whirlpool,6,13990,4.4,681,1576,
Whirlpool,6,13990,4.3,563,194,
Godrej,7,13990,4.3,535,930,
Whirlpool,6,13990,4.3,205,258,
Whirlpool,6,13990,4.3,61,6574,
Whirlpool,6,13990,3.6,,0,
Panasonic,6.5,13990,3.9,,2,
Whirlpool,8.5,13990,4.2,,87,
Whirlpool,6,13990,4.2,,31,
Haier,9,13990,4.3,,22,
Whirlpool,6,13990,4.4,,53,
Godrej,7,13990,4.5,,18,
Whirlpool,6,13990,4.5,,5,
Whirlpool,6,13990,4.5,,2,
Panasonic,6,13790,4.2,,76,
Whirlpool,7.5,13760,4.4,994,258,
LG,7,13629,4.3,846,273,
ONIDA,6.5,13559,4.4,664,4594,
Whirlpool,8.5,13530,4.4,338,117,
LG,7,13490,4.2,490,635,
CANDY,7,13490,4.3,61,6574,
Voltas,9,13490,3.9,,6,
Whirlpool,8.5,13480,4.2,,0,
Whirlpool,8.5,13479,,43,2,
LG,7,13350,4.4,,62,
CANDY,7,13290,4.4,,113,
Godrej,8,13199,4.3,694,2045,
Midea,7,13190,4.3,61,6574,
Voltas,8,12999,4.6,,2,
Haier,6.5,12990,4.2,867,651,
Godrej,6.5,12990,4.3,694,2045,
Whirlpool,8.5,12990,4.4,567,2777,
SAMSUNG,8,12990,4.3,477,6126,
ONIDA,7,12990,4.3,55,1118,
Godrej,6.5,12990,4.3,55,1118,
Sansui,6.5,12990,4.3,,66,
Godrej,7.2,12990,4.8,,0,
Godrej,6.2,12890,4.5,640,305,
Haier,8.5,12690,4.4,550,221,
Voltas,9,12690,4.2,490,635,
Singer,10,12690,4.2,,80,
Godrej,6,12690,4.5,,63,
Whirlpool,8,12690,4.7,,1,
Whirlpool,7.5,12600,4.4,,80,
Whirlpool,8,12580,4.3,55,1118,
White westinghouse,6.5,12499,,41932,283,
Voltas,7.5,12499,4.4,413,644,
White westinghouse,6.5,12499,4.3,55,1118,
Voltas,7.5,12499,,55,2,
ONIDA,6.5,12490,4.3,694,2045,
ONIDA,8,12490,4.3,198,632,
Whirlpool,8,12490,4.2,,16,
SAMSUNG,7,12490,4.3,,63,
Godrej,7.2,12480,4.4,567,2777,
LG,6,12299,,52,1,
LG,6,12299,4.4,,8,
realme,7.5,12290,4.2,993,2444,
LG,6,12200,,44,0,
Voltas,8,12190,3.6,,0,
SAMSUNG,7.5,12000,4.3,343,137,
SAMSUNG,7.5,12000,4.2,,13,
LG,7,11990,4.5,579,878,
Whirlpool,7.5,11990,4.2,272,116,
Godrej,8,11990,4.4,88,76,
Haier,8,11990,4.3,,28,
SAMSUNG,6.5,11890,4.3,815,462,
Whirlpool,7.5,11790,4.3,55,1118,
realme,6.5,11790,4.5,,4,
Voltas,8,11690,,4147,15,
Whirlpool,7,11505,4.3,,5,
MarQ,6.5,11490,4.2,849,696,
Thomson,10,11490,,53,0,
SAMSUNG,7,11400,,4349,52,
SAMSUNG,7,11400,4.2,,4,
Panasonic,7,11390,,41375,254,
Voltas,7,11350,4.3,,1,
Lloyd,7.5,11290,,43480,337,
Godrej,7.5,11290,4.2,790,349,
SAMSUNG,7,11290,4.3,503,2570,
Kelvinator,8,11290,4.4,,1,
LG,6,11163,4.3,61,6574,
Whirlpool,7.5,10990,,4349,52,
ONIDA,6.2,10990,4.4,,113,
Voltas,7,10790,4.3,694,2045,
Godrej,7.5,10790,4.3,55,1118,
Candes,9,10790,3.7,,0,
Voltas,8.5,10690,4.3,4349,52,
MarQ,9,10690,4.3,694,2045,
Lloyd,7,10590,4.3,700,814,
Lloyd,7.5,10490,4.4,102,1643,
Sansui,9,10090,4.3,55,1118,
Haier,7,9999,4.5,,2,
SAMSUNG,6.5,9990,4.3,993,2444,
Voltas,8,9990,4.3,427,424,
realme,8.5,9990,4.2,150,760,
Lloyd,7.5,9990,4.3,61,6574,
ONIDA,8,9990,4.4,61,6574,
realme,8,9990,4.3,,49,
ONIDA,7.5,9790,4.5,,68,
MarQ,8.5,9790,4.6,,5,
Voltas,7,9740,4.4,,3,
White westinghouse,8,9499,4.6,,0,
White westinghouse,8,9499,4.9,,1,
Voltas,7,9190,4.3,659,2643,
Whirlpool,6,8990,4.3,694,2045,
Thomson,7.5,8990,4.3,694,2045,
Whirlpool,6,8990,4.4,150,1475,
SAMSUNG,6,8990,4.3,61,6574,
Candes,8.5,8990,4.3,61,6574,
Thomson,8,8790,4.5,,63,
realme,7.5,8690,4.3,382,1237,
ONIDA,7,8490,4.3,,18,
InnoQ,8.5,8489,4.2,,94,
Gangnam,9,8399,4.5,116,100,
ONIDA,6.5,8290,4.3,815,462,
Sansui,6.5,7999,4.4,,113,
ONIDA,7,7990,4.3,55,1118,
MarQ,7.5,7990,4.3,,80,
Candes,7.2,7990,4.5,,0,
Gangnam,7.5,7899,4.2,453,185,
Lifelong,7.5,7850,4.3,55,1118,
Gangnam,7.8,7790,4.3,815,462,
Thomson,7,7790,4.2,790,349,
realme,7,7790,4.4,427,424,
Thomson,7,7790,4.3,,7,
Thomson,7,7690,,4349,52,
Sansui,7,7590,4.4,827,360,
Sansui,6.5,7390,4.5,,18,
MarQ,6.5,7290,4.4,427,424,
Thomson,6.5,7290,4.3,,102,
InnoQ,7.5,7289,4.3,336,1115,
MarQ,7,7190,4.2,790,349,
MarQ,6,7090,,4349,52,
MarQ,6,7090,4.2,993,2444,
MarQ,6,7090,4.3,815,462,
MarQ,6,7090,,482,7,
MarQ,6,7090,4.2,453,185,
MarQ,6,7090,,437,2,
MarQ,6,7090,4.4,427,424,
MarQ,6,7090,4.2,338,117,
MarQ,6,7090,4.1,243,253,
MarQ,6,7090,4.4,218,425,
MarQ,6,7090,4.3,61,6574,
MarQ,6,7090,4.3,61,6574,
MarQ,6,7090,4.3,61,6574,
MarQ,6,7090,4.3,61,6574,
MarQ,6,7090,4.3,55,1188,
MarQ,6,7090,4.3,55,1118,
MarQ,6,7090,,54,0,
MarQ,6,7090,,53,1,
MarQ,6,7090,3.8,,31,
MarQ,6,7090,4.1,,31,
MarQ,6,7090,4.2,,9,
MarQ,6,7090,4.2,,5,
MarQ,6,7090,4.2,,5,
MarQ,6,7090,4.2,,80,
MarQ,6,7090,4.3,,6,
MarQ,6,7090,4.3,,22,
MarQ,6,7090,4.4,,113,
MarQ,6,7090,4.4,,8,
MarQ,6,7090,4.4,,12,
MarQ,6,7090,4.5,,0,
MarQ,6,7090,4.5,,4,
MarQ,6,7090,4.6,,1,
White westinghouse,6,6990,4.2,,80,
Candes,6.5,6990,4.5,,2,
InnoQ,6.5,6899,4.3,,8,
Gangnam,6.5,6590,4.3,612,185,
InnoQ,6.5,6490,4.4,815,462,
ONIDA,9,6290,4.4,,28,
ONIDA,7,5890,4.3,55,1118,
DMR,1.5,5799,4.3,815,462,
DMR,4.6,5799,4.2,,80,
Voltas,7.5,5650,4.5,,45,
ONIDA,6.5,5590,4.3,,14,
Daenyx,7.5,5499,,4438,77,
Daenyx,7.5,5499,4.2,,53,
MarQ,7.5,5190,4.3,694,2045,
Thomson,7,4990,4.3,318,205,
